id_transacao,valor,tempo,fim_de_semana,idade_cliente,tipo_transacao,cidade,perfil,numero_transacoes,fraude
1,1000.0,4.220996533629695,0,47,compra,Teresina,Não Aposentado,1,0
2,1000.0,16.50731083766637,1,25,compra,Macapá,Estudante,3,1
3,1000.0,11.388027508254538,0,38,compra,Cuiabá,Não Aposentado,4,1
4,1000.0,3.1311572772814626,1,67,transferencia,Macapá,Aposentado,3,1
5,1000.0,13.813373197485411,0,67,transferencia,Porto Alegre,Aposentado,1,0
6,1000.0,11.015899959047914,0,61,compra,Recife,Aposentado,2,0
7,1000.0,5.450054310496683,1,27,compra,Rio de Janeiro,Estudante,5,1
8,1000.0,15.671504053675411,0,55,compra,Curitiba,Não Aposentado,4,1
9,1000.0,3.7071780271561936,0,67,compra,Rio de Janeiro,Aposentado,3,1
10,1000.0,13.598773178914373,0,69,compra,Boa Vista,Aposentado,3,1
11,1000.0,10.708767698181477,0,34,compra,Goiânia,Não Aposentado,3,1
12,1000.0,3.096287127061985,0,63,saque,Rio de Janeiro,Aposentado,1,0
13,1000.0,6.029173132714571,0,20,saque,Florianópolis,Estudante,3,1
14,1000.0,9.538542589690081,0,48,compra,Florianópolis,Não Aposentado,1,0
15,1000.0,13.799817310461862,1,79,transferencia,Brasília,Aposentado,1,0
16,1000.0,13.19340942372684,0,32,saque,Vitória,Não Aposentado,5,1
17,1000.0,0.17587306672838565,0,18,compra,Macapá,Estudante,1,0
18,1000.0,7.817585613657482,1,45,compra,Porto Velho,Não Aposentado,5,1
19,1000.0,7.23980017760515,1,20,compra,Recife,Estudante,1,1
20,1000.0,3.331223435134069,0,22,saque,Maceió,Estudante,4,1
21,1000.0,19.174528743076742,0,26,compra,Belo Horizonte,Estudante,2,0
22,1000.0,13.403934319198985,0,59,compra,Belo Horizonte,Não Aposentado,5,1
23,1000.0,20.539220360191067,0,58,compra,Vitória,Não Aposentado,4,1
24,1000.0,19.203250534506054,0,28,compra,Goiânia,Estudante,1,0
25,1000.0,17.412211581293214,0,38,compra,Florianópolis,Não Aposentado,4,1
26,1000.0,10.099953032771314,1,31,compra,São Luís,Não Aposentado,2,0
27,1000.0,21.40379187031592,0,65,compra,Porto Alegre,Aposentado,1,0
28,1000.0,17.330963611495605,0,78,compra,João Pessoa,Aposentado,2,0
29,1000.0,21.66385061304997,0,44,compra,Palmas,Não Aposentado,1,0
30,1000.0,12.290909292931683,0,36,saque,Rio Branco,Não Aposentado,1,0
31,1000.0,0.525400168605894,0,44,compra,Salvador,Não Aposentado,3,1
32,1000.0,21.925073253543353,1,75,saque,Natal,Aposentado,4,1
33,1000.0,2.9157842723070813,1,46,saque,Campo Grande,Não Aposentado,5,1
34,1000.0,20.9170170667726,0,65,compra,Natal,Aposentado,4,1
35,1000.0,0.06879613305374921,0,77,saque,Salvador,Aposentado,1,0
36,1000.0,17.853871534982915,0,55,saque,Vitória,Não Aposentado,2,0
37,1000.0,1.6716675254919897,0,53,compra,Porto Alegre,Não Aposentado,3,1
38,1000.0,21.686204849669064,0,46,compra,São Paulo,Não Aposentado,3,1
39,1000.0,17.454629804308315,0,73,compra,Vitória,Aposentado,2,0
40,1000.0,20.706140600870377,0,33,saque,Belo Horizonte,Não Aposentado,5,1
41,1000.0,10.510882857799684,1,68,compra,São Luís,Aposentado,1,0
42,1000.0,15.487457804653975,1,58,compra,Maceió,Não Aposentado,1,0
43,1000.0,1.127948209370845,0,40,compra,São Paulo,Não Aposentado,2,0
44,1000.0,0.233024793506738,0,18,saque,João Pessoa,Estudante,4,1
45,1000.0,5.568855113528074,0,72,saque,Fortaleza,Aposentado,1,0
46,1000.0,4.171232530345632,0,27,saque,Porto Alegre,Estudante,5,1
47,1000.0,11.005633987969231,1,67,compra,Macapá,Aposentado,3,1
48,1000.0,10.902035344060932,0,45,saque,Belém,Não Aposentado,4,1
49,1000.0,2.2295727329871227,0,53,compra,Porto Alegre,Não Aposentado,4,1
50,1000.0,14.010355964211993,0,76,compra,Porto Velho,Aposentado,2,0
51,1000.0,5.678694464085548,0,74,saque,Rio Branco,Aposentado,4,1
52,1000.0,4.386036660297847,0,65,compra,Fortaleza,Aposentado,2,0
53,1000.0,21.594207748906456,0,66,compra,Aracaju,Aposentado,4,1
54,1000.0,7.900945600763167,0,29,saque,Salvador,Estudante,4,1
55,1000.0,2.4048321283495078,1,60,transferencia,Natal,Aposentado,4,1
56,1000.0,9.85978623501764,1,69,saque,Boa Vista,Aposentado,3,1
57,1000.0,2.3500697328946796,0,72,compra,Belém,Aposentado,3,1
58,1000.0,22.649381555451786,0,79,compra,Natal,Aposentado,3,1
59,1000.0,20.5770367303038,0,72,compra,São Paulo,Aposentado,4,1
60,1083.842107893124,20.206367530941968,0,75,saque,Goiânia,Aposentado,3,1
61,1000.0,22.470928626848696,1,42,saque,Teresina,Não Aposentado,4,1
62,1000.0,16.953662917852608,0,25,compra,São Luís,Estudante,2,0
63,1000.0,13.808645942432356,1,43,compra,Brasília,Não Aposentado,3,1
64,1000.0,3.133834019764733,0,64,saque,São Luís,Aposentado,3,1
65,1000.0,23.231324069645105,0,41,saque,Recife,Não Aposentado,1,0
66,1000.0,6.301561717348656,1,27,compra,Maceió,Estudante,5,1
67,1000.0,21.24547916206712,1,50,saque,São Luís,Não Aposentado,4,1
68,1000.0,7.173696222619575,0,28,saque,Palmas,Estudante,3,1
69,1000.0,12.873912205801503,1,76,compra,Macapá,Aposentado,2,0
70,1000.0,3.641507131137172,1,36,compra,São Luís,Não Aposentado,1,0
71,1000.0,2.9593318539377194,0,64,compra,Macapá,Aposentado,3,1
72,1000.0,17.77433013000185,1,70,compra,Rio Branco,Aposentado,1,0
73,1000.0,15.919407840587557,0,61,compra,Teresina,Aposentado,2,0
74,1000.0,0.5262321262463878,0,47,compra,São Luís,Não Aposentado,3,1
75,1000.0,6.4031447420242005,0,39,transferencia,Natal,Não Aposentado,5,1
76,1000.0,21.593456576845647,0,64,compra,Fortaleza,Aposentado,2,0
77,1000.0,15.079602629266612,0,76,compra,Fortaleza,Aposentado,4,1
78,1000.0,0.10528845624085115,0,43,compra,Palmas,Não Aposentado,4,1
79,1000.0,15.4693023533601,0,40,saque,Macapá,Não Aposentado,3,1
80,1000.0,23.16123638149723,0,63,transferencia,Goiânia,Aposentado,2,0
81,1000.0,6.485682764538004,1,48,transferencia,Natal,Não Aposentado,4,1
82,1000.0,16.931831374533772,0,45,compra,Maceió,Não Aposentado,2,0
83,1000.0,11.632844497478361,0,73,saque,João Pessoa,Aposentado,3,1
84,1000.0,2.9761978222570367,0,59,compra,Brasília,Não Aposentado,1,0
85,1000.0,10.033088905603325,0,71,saque,Natal,Aposentado,2,0
86,1000.0,13.453208225329327,1,33,compra,Teresina,Não Aposentado,1,0
87,1000.0,23.69351180026468,0,66,compra,Campo Grande,Aposentado,2,0
88,1000.0,13.718120592118515,1,72,compra,Macapá,Aposentado,3,1
89,1000.0,8.539047270192833,0,66,transferencia,Rio de Janeiro,Aposentado,3,1
90,1000.0,11.72422578731763,0,71,compra,Florianópolis,Aposentado,2,0
91,1000.0,18.794650357081558,0,52,saque,Natal,Não Aposentado,4,1
92,1000.0,3.3979387745547864,1,58,compra,Teresina,Não Aposentado,3,1
93,1000.0,15.94829253053966,0,64,compra,Aracaju,Aposentado,2,0
94,1000.0,15.25643825172138,0,73,saque,Belo Horizonte,Aposentado,2,1
95,1000.0,21.317075839189112,0,20,compra,Curitiba,Estudante,3,1
96,1000.0,7.518459002147371,0,50,transferencia,Recife,Não Aposentado,1,0
97,1000.0,16.210077574871264,0,51,compra,João Pessoa,Não Aposentado,5,1
98,1000.0,9.532895783504696,0,54,saque,Belo Horizonte,Não Aposentado,4,1
99,1000.0,4.894041780972185,1,49,compra,Campo Grande,Não Aposentado,3,1
100,1000.0,16.321740967924814,0,30,compra,Vitória,Não Aposentado,2,0
101,1000.0,11.194547800595512,0,71,compra,Rio de Janeiro,Aposentado,4,1
102,1000.0,22.72775567824175,1,70,saque,Fortaleza,Aposentado,1,0
103,1000.0,0.6120798210760867,0,20,saque,Porto Velho,Estudante,5,1
104,1000.0,20.802451497466258,1,64,saque,Florianópolis,Aposentado,2,0
105,1000.0,14.645998360417892,1,38,saque,Fortaleza,Não Aposentado,4,1
106,1000.0,21.86669085095564,0,29,compra,São Paulo,Estudante,2,0
107,1000.0,3.1440095860462396,1,68,compra,Vitória,Aposentado,1,0
108,1000.0,10.864419077866106,1,47,saque,Belém,Não Aposentado,5,1
109,1000.0,6.684360450888763,1,52,saque,Goiânia,Não Aposentado,3,1
