id_transacao,valor,tempo,fim_de_semana,idade_cliente,tipo_transacao,cidade,fraude,perfil,numero_transacoes
1,1000.0,17.52,0,21,compra,Curitiba,0,Estudante,1
2,1000.0,4.43,0,20,compra,Rio de Janeiro,0,Estudante,1
3,1000.0,8.32,0,78,saque,Macapá,0,Aposentado,1
4,1000.0,15.92,0,69,transferencia,Fortaleza,0,Aposentado,1
5,1000.0,11.57,0,23,compra,Goiânia,0,Estudante,1
6,1000.0,17.73,0,32,compra,Teresina,0,Investidor,5
7,1000.0,23.07,0,20,transferencia,Macapá,0,Estudante,1
8,1000.0,2.8,0,34,compra,Porto Alegre,0,Investidor,5
9,1000.0,17.03,0,47,compra,São Luís,0,Bancário,1
10,1000.0,5.53,0,39,compra,Palmas,0,Investidor,5
11,1000.0,9.95,1,19,compra,Florianópolis,0,Estudante,1
12,1000.0,0.79,0,74,compra,Recife,0,Aposentado,1
13,1000.0,3.26,1,33,compra,Campo Grande,0,Bancário,4
14,1000.0,7.67,1,39,compra,Porto Velho,0,Bancário,1
15,1000.0,8.21,0,66,compra,Curitiba,0,Aposentado,1
16,1000.0,21.59,0,28,compra,Teresina,0,Bancário,4
17,1000.0,17.8,0,53,compra,Rio de Janeiro,0,Comerciante,1
18,1000.0,23.33,0,70,saque,Boa Vista,0,Aposentado,1
19,1000.0,14.38,0,29,compra,Porto Alegre,0,Engenheiro,1
20,1000.0,5.8,1,57,saque,Belo Horizonte,0,Investidor,2
21,1000.0,7.86,0,52,compra,João Pessoa,0,Bancário,5
22,1000.0,7.68,1,60,compra,Palmas,0,Aposentado,1
23,1000.0,7.84,1,62,compra,Salvador,0,Aposentado,1
24,1000.0,16.15,0,74,saque,Boa Vista,0,Aposentado,1
25,1000.0,12.74,0,58,compra,Boa Vista,0,Investidor,1
26,1000.0,9.25,0,32,transferencia,Porto Velho,0,Bancário,3
27,1000.0,3.58,0,61,saque,Brasília,0,Aposentado,1
28,1000.0,0.53,0,59,compra,Porto Velho,0,Bancário,1
29,1000.0,5.25,1,76,saque,Belém,0,Aposentado,1
30,1000.0,2.58,0,38,compra,Belo Horizonte,0,Bancário,2
31,1000.0,18.85,0,21,compra,Porto Velho,0,Estudante,1
32,1000.0,2.7,1,24,compra,Fortaleza,0,Estudante,1
33,1000.0,17.38,0,46,compra,Curitiba,0,Investidor,1
34,1000.0,9.26,0,58,compra,Rio Branco,0,Comerciante,1
35,1000.0,1.76,0,23,compra,Cuiabá,0,Estudante,1
36,1000.0,19.51,0,56,compra,Curitiba,0,Bancário,4
37,1000.0,13.91,1,34,compra,Rio de Janeiro,0,Engenheiro,1
38,1000.0,5.66,1,53,compra,Recife,0,Bancário,5
39,1000.0,21.47,0,19,compra,Belo Horizonte,0,Estudante,1
40,1000.0,1.09,0,34,compra,Natal,0,Investidor,4
41,1000.0,4.84,0,46,compra,Maceió,0,Comerciante,5
42,1000.0,18.05,1,44,saque,Campo Grande,0,Engenheiro,1
43,1000.0,17.03,0,24,transferencia,Belo Horizonte,0,Estudante,1
44,1000.0,6.94,0,28,transferencia,Cuiabá,0,Engenheiro,1
45,1000.0,1.49,0,43,compra,Campo Grande,0,Bancário,3
