id_transacao,valor,tempo,fim_de_semana,idade_cliente,tipo_transacao,cidade,perfil,numero_transacoes,fraude
1,1000.0,18.05079419545487,0,49,transferencia,Rio Branco,Não Aposentado,4,1
2,1000.0,13.526394139314434,0,20,transferencia,Teresina,Estudante,1,0
3,1000.0,20.720503266753944,0,26,transferencia,João Pessoa,Estudante,4,1
4,1000.0,20.316370853587856,1,36,compra,Teresina,Não Aposentado,3,1
5,1000.0,10.13402806487716,0,78,compra,João Pessoa,Aposentado,4,1
6,1000.0,17.984240155122237,0,42,transferencia,Rio de Janeiro,Não Aposentado,2,0
7,1000.0,7.169862537820184,0,34,compra,Campo Grande,Não Aposentado,3,1
8,1000.0,17.0737803773087,1,52,compra,Curitiba,Não Aposentado,2,0
9,1000.0,4.596800400532703,0,29,compra,Teresina,Estudante,5,1
10,1000.0,13.480750502209006,0,25,saque,Belo Horizonte,Estudante,1,0
11,1000.0,20.246827554375788,0,24,saque,São Luís,Estudante,2,0
12,1000.0,23.72104339492353,0,35,compra,Goiânia,Não Aposentado,5,1
13,1000.0,7.659539617309948,0,77,compra,Belém,Aposentado,1,0
14,1000.0,22.42788595538733,0,38,compra,João Pessoa,Não Aposentado,2,0
15,1000.0,12.559513920585935,0,44,compra,Manaus,Não Aposentado,4,1
16,1000.0,14.019874307236913,1,41,compra,Curitiba,Não Aposentado,5,1
17,1000.0,10.560772260729907,0,18,saque,Recife,Estudante,5,1
18,1000.0,4.923094244996695,1,28,saque,Cuiabá,Estudante,1,0
19,1000.0,3.65987615162328,1,35,compra,Recife,Não Aposentado,3,1
20,1000.0,22.020093546941876,0,43,compra,Recife,Não Aposentado,2,0
21,1000.0,12.155184123941302,0,78,compra,Cuiabá,Aposentado,3,1
22,1000.0,16.184110880892163,0,60,compra,Macapá,Aposentado,3,1
23,1000.0,4.686299147355128,1,25,compra,Cuiabá,Estudante,1,0
24,1000.0,15.722625960811577,0,31,compra,João Pessoa,Não Aposentado,2,0
25,1000.0,17.30444037197529,0,21,saque,Campo Grande,Estudante,3,1
26,1000.0,23.203171501176797,1,48,saque,Natal,Não Aposentado,3,1
27,1000.0,12.290245984840606,1,41,compra,Belém,Não Aposentado,3,1
28,1000.0,10.915374591516505,1,33,compra,Belo Horizonte,Não Aposentado,5,1
29,1000.0,16.46086366069465,0,61,compra,Natal,Aposentado,3,1
30,1000.0,8.983252227696966,0,66,transferencia,Belo Horizonte,Aposentado,2,0
31,1000.0,19.341167935156527,1,65,compra,Vitória,Aposentado,2,0
32,1000.0,11.284313412465904,0,51,compra,João Pessoa,Não Aposentado,5,1
33,1000.0,3.839627245153883,1,37,compra,Recife,Não Aposentado,1,0
34,1000.0,20.45085565556234,0,57,compra,Rio de Janeiro,Não Aposentado,5,1
35,1000.0,22.711395408944558,0,62,transferencia,Rio Branco,Aposentado,1,0
36,1000.0,19.697523973436105,0,52,compra,Porto Velho,Não Aposentado,3,1
37,1000.0,10.932799247211966,0,44,compra,Natal,Não Aposentado,2,0
38,1000.0,0.07827744589257701,0,32,saque,Belém,Não Aposentado,1,0
39,1000.0,17.496170389372235,0,45,compra,Recife,Não Aposentado,4,1
40,1000.0,12.261603291529465,0,65,compra,Maceió,Aposentado,3,1
41,1000.0,15.194451692201255,1,72,compra,Fortaleza,Aposentado,3,1
42,1000.0,14.447014771579934,0,23,compra,Boa Vista,Estudante,1,1
43,1000.0,13.159362712314763,0,55,compra,Macapá,Não Aposentado,1,0
44,1000.0,0.6148717663432057,1,76,compra,Manaus,Aposentado,2,0
45,1000.0,21.04942414750723,1,28,compra,Goiânia,Estudante,3,1
46,1000.0,12.529551235043181,0,38,compra,Belém,Não Aposentado,4,1
47,1000.0,11.334183533796345,1,46,compra,Boa Vista,Não Aposentado,3,1
48,1000.0,11.18087420445525,0,77,saque,Porto Alegre,Aposentado,2,1
49,1000.0,19.861541782728203,0,60,compra,Campo Grande,Aposentado,1,0
50,1000.0,23.467579938717087,0,31,saque,Belo Horizonte,Não Aposentado,1,0
51,1000.0,14.006085312945931,0,29,saque,Curitiba,Estudante,3,1
52,1000.0,4.4709854652364305,0,34,compra,Aracaju,Não Aposentado,4,1
53,1000.0,18.851079095750215,1,51,compra,São Paulo,Não Aposentado,1,0
54,1000.0,1.7095852553619677,0,32,saque,Porto Alegre,Não Aposentado,3,1
55,1000.0,8.40664520654475,1,26,transferencia,Porto Alegre,Estudante,4,1
56,1000.0,8.60864676081757,1,42,compra,João Pessoa,Não Aposentado,3,1
57,1000.0,3.2548208697249574,1,45,compra,Campo Grande,Não Aposentado,2,0
58,1000.0,13.463294265859384,1,36,compra,Vitória,Não Aposentado,3,1
59,1000.0,3.019901064881295,0,76,compra,Belém,Aposentado,2,0
60,1000.0,22.11771711420396,0,38,compra,Rio Branco,Não Aposentado,4,1
61,1000.0,3.530515280922275,0,47,compra,Porto Alegre,Não Aposentado,5,1
62,1000.0,18.57069991691726,0,43,compra,Fortaleza,Não Aposentado,5,1
63,1000.0,6.3561420811874,0,63,compra,Palmas,Aposentado,2,0
64,1000.0,19.462327865685946,0,60,compra,Vitória,Aposentado,4,1
65,1000.0,4.784589401449994,1,40,compra,Campo Grande,Não Aposentado,1,0
